"","file","object_id","tabular","semantic","definition_list","header_row","header_column","rule_1_violation","rule_2_violation","rule_3_violation","rule_4_violation","violations_sum"
"3876","1575847-3",14293,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"3877","1576874-15",3486,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3878","1575158-7",3573,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3879","1576579-13",3966,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3880","1575414-16",4557,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3881","1576576-12",2672,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3882","1576569-15",3164,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3883","1576094-4",1091,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3884","1576445-10",10360,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3885","1576209-5",19402,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3886","1576565-7",1453,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3887","1576571-10",1659,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3888","1576507-2",1424,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3889","1576875-10",1808,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3890","1576877-6",1950,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3891","1576580-4",761,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3892","1575611-6",5870,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3893","1576665-6",5649,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"3894","1576965-13",21463,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
